Player	Caps	Goals	Club
Umut Meraş	13	0	Le Havre
Unai Simón	7	0	Athletic Bilbao
Valentino Lazaro	30	3	Borussia Mönchengladbach
Victor Lindelöf	41	3	Manchester United
Viktor Claesson	46	9	Krasnodar
Viktor Tsyhankov	26	6	Dynamo Kyiv
Visar Musliu	31	1	Fehérvár
Vitaliy Mykolenko	15	0	Dynamo Kyiv
Vladimír Coufal	15	1	West Ham United
Vladimír Darida	71	8	Hertha BSC
Vladimír Weiss	68	7	Slovan Bratislava
Vlatko Stojanovski	8	2	Chambly
Vyacheslav Karavayev	13	2	Zenit Saint Petersburg
Wayne Hennessey	96	0	Crystal Palace
Willi Orbán	21	5	RB Leipzig
William Carvalho	65	4	Real Betis
Wissam Ben Yedder	13	2	Monaco
Wojciech Szczęsny	52	0	Juventus
Wout Weghorst	5	0	VfL Wolfsburg
Xaver Schlager	20	1	VfL Wolfsburg
Xherdan Shaqiri	91	23	Liverpool
Yann Sommer	61	0	Borussia Mönchengladbach
Yannick Carrasco	45	6	Atlético Madrid
Yevhenii Makarenko	11	0	Kortrijk
Youri Tielemans	38	4	Leicester City
Yuri Zhirkov	104	2	Zenit Saint Petersburg
Yury Dyupin	0	0	Rubin Kazan
Yussuf Poulsen	53	8	RB Leipzig
Yusuf Yazıcı	31	1	Lille
Yvon Mvogo	4	0	PSV Eindhoven
Zeki Çelik	20	2	Lille
